gui	up_req	up_col	fb_req	fb_col
	lineage(SUBTRIBE)	Taxonomic lineage (SUBTRIBE)		
	lineage(GENUS)	Taxonomic lineage (GENUS)		
	lineage(SUBGENUS)	Taxonomic lineage (SUBGENUS)		
	lineage(SPECIES GROUP)	Taxonomic lineage (SPECIES GROUP)		
	lineage(SPECIES SUBGROUP)	Taxonomic lineage (SPECIES SUBGROUP)		
	lineage(SPECIES)	Taxonomic lineage (SPECIES)		
	lineage(SUBSPECIES)	Taxonomic lineage (SUBSPECIES)		
	lineage(VARIETAS)	Taxonomic lineage (VARIETAS)		
	lineage(FORMA)	Taxonomic lineage (FORMA)		
	lineage-id(all)	Taxonomic identifier (all)		
	lineage-id(SUPERKINGDOM)	Taxonomic identifier (SUPERKINGDOM)		
	lineage-id(KINGDOM)	Taxonomic identifier (KINGDOM)		
	lineage-id(SUBKINGDOM)	Taxonomic identifier (SUBKINGDOM)		
	lineage-id(SUPERPHYLUM)	Taxonomic identifier (SUPERPHYLUM)		
	lineage-id(PHYLUM)	Taxonomic identifier (PHYLUM)		
	lineage-id(SUBPHYLUM)	Taxonomic identifier (SUBPHYLUM)		
	lineage-id(SUPERCLASS)	Taxonomic identifier (SUPERCLASS)		
	lineage-id(CLASS)	Taxonomic identifier (CLASS)		
	lineage-id(SUBCLASS)	Taxonomic identifier (SUBCLASS)		
	lineage-id(INFRACLASS)	Taxonomic identifier (INFRACLASS)		
	lineage-id(SUPERORDER)	Taxonomic identifier (SUPERORDER)		
	lineage-id(ORDER)	Taxonomic identifier (ORDER)		
	lineage-id(SUBORDER)	Taxonomic identifier (SUBORDER)		
	lineage-id(INFRAORDER)	Taxonomic identifier (INFRAORDER)		
	lineage-id(PARVORDER)	Taxonomic identifier (PARVORDER)		
	lineage-id(SUPERFAMILY)	Taxonomic identifier (SUPERFAMILY)		
	lineage-id(FAMILY)	Taxonomic identifier (FAMILY)		
	lineage-id(SUBFAMILY)	Taxonomic identifier (SUBFAMILY)		
	lineage-id(TRIBE)	Taxonomic identifier (TRIBE)		
	lineage-id(SUBTRIBE)	Taxonomic identifier (SUBTRIBE)		
	lineage-id(GENUS)	Taxonomic identifier (GENUS)		
	lineage-id(SUBGENUS)	Taxonomic identifier (SUBGENUS)		
	lineage-id(SPECIES GROUP)	Taxonomic identifier (SPECIES GROUP)		
	lineage-id(SPECIES SUBGROUP)	Taxonomic identifier (SPECIES SUBGROUP)		
	lineage-id(SPECIES)	Taxonomic identifier (SPECIES)		
	lineage-id(SUBSPECIES)	Taxonomic identifier (SUBSPECIES)		
	lineage-id(VARIETAS)	Taxonomic identifier (VARIETAS)		
	lineage-id(FORMA)	Taxonomic identifier (FORMA)		
query		yourlist		#SUBMITTED ID
interactions			SUMMARY_PHYSICAL_INTERACTIONS	SUMMARY_PHYSICAL_INTERACTIONS
